account_id,customer_id,avg_balance,account_open_days
A0,C2000,3638.51,1979
A1,C367,30059.18,1599
A2,C2457,2757.8,1766
A3,C774,5968.92,1139
A4,C1997,20098.37,209
A5,C1217,142582.82,323
A6,C265,9732.31,494
A7,C2907,6878.3,151
A8,C1604,31702.6,1681
A9,C486,37947.41,702
A10,C2982,5607.89,1277
A11,C2571,21238.65,225
A12,C53,8563.19,1279
A13,C489,37377.45,1449
A14,C303,27865.05,1727
A15,C1013,21148.12,607
A16,C1207,16622.17,1055
A17,C2033,28863.38,1781
A18,C2200,7954.86,1596
A19,C1849,104214.66,536
A20,C1325,155836.7,1281
A21,C2864,48106.45,166
A22,C1122,7011.22,222
A23,C1234,119257.58,1824
A24,C1204,5054.38,1600
A25,C2818,43571.7,1690
A26,C2961,46194.96,1396
A27,C2780,26952.2,284
A28,C1759,58229.38,93
A29,C2146,96901.71,1710
A30,C1234,6531.05,1288
A31,C58,68397.85,1550
A32,C1774,10716.65,1252
A33,C2392,21450.75,945
A34,C325,7472.12,359
A35,C2702,14915.75,1312
A36,C1630,22029.16,138
A37,C1571,13627.62,584
A38,C2560,25928.57,639
A39,C591,15672.53,1749
A40,C2906,15721.5,744
A41,C542,17579.07,359
A42,C2224,12576.53,1087
A43,C2536,93321.03,737
A44,C1958,6425.53,1233
A45,C261,114698.52,694
A46,C2076,14917.86,697
A47,C1638,5984.23,577
A48,C2973,4734.07,1073
A49,C610,12288.76,1656
A50,C659,18705.2,283
A51,C903,29831.6,1533
A52,C2514,124690.59,405
A53,C2931,5679.61,1958
A54,C2904,43209.98,1422
A55,C829,46288.36,380
A56,C2142,8057.38,1763
A57,C2050,34406.9,569
A58,C951,102938.78,1108
A59,C2302,71438.22,1395
A60,C1967,11230.96,105
A61,C864,90229.9,1716
A62,C1033,25823.51,1986
A63,C439,18264.79,1359
A64,C1198,14805.87,1415
A65,C2316,48658.35,200
A66,C1760,21867.35,1559
A67,C1360,38363.94,1580
A68,C2504,16224.68,964
A69,C863,19828.97,631
A70,C561,32334.72,965
A71,C634,31225.22,321
A72,C1313,15423.33,1767
A73,C2950,21936.37,1909
A74,C1660,14629.56,770
A75,C1938,24056.82,1954
A76,C2527,5453.93,257
A77,C1569,11867.47,1328
A78,C1716,64418.11,1936
A79,C342,27458.23,1288
A80,C882,21555.44,797
A81,C2737,6595.76,801
A82,C2222,24594.22,251
A83,C998,16834.97,644
A84,C1799,12706.9,1179
A85,C2372,94547.66,751
A86,C160,3358.64,402
A87,C2716,25194.53,1921
A88,C818,64020.29,1022
A89,C617,63944.03,634
A90,C2707,38328.94,1848
A91,C2933,26944.35,1958
A92,C500,18146.01,362
A93,C2682,30253.59,607
A94,C1646,22096.52,1934
A95,C1698,20608.65,804
A96,C1413,23297.48,1350
A97,C2172,66630.12,836
A98,C1776,21877.19,1470
A99,C832,10871.93,449
A100,C391,7201.76,1007
A101,C2171,27748.04,1468
A102,C1090,3261.88,919
A103,C1293,64926.89,161
A104,C2901,9330.76,1942
A105,C976,32986.2,1667
A106,C270,85931.75,124
A107,C2090,42185.92,1290
A108,C2430,95849.87,1029
A109,C1149,252771.55,1082
A110,C2602,52482.87,59
A111,C2113,6921.36,299
A112,C685,99300.93,62
A113,C2554,34498.54,1531
A114,C1533,75111.91,131
A115,C812,66933.85,63
A116,C2022,7552.98,332
A117,C619,79484.66,247
A118,C1028,8631.64,1660
A119,C961,16343.34,1929
A120,C678,4889.93,1116
A121,C1271,91802.09,1789
A122,C2961,16798.56,1229
A123,C2185,30215.49,135
A124,C1976,3133.26,84
A125,C1312,8552.49,1756
A126,C1934,42372.63,694
A127,C2080,71518.51,101
A128,C540,18283.4,534
A129,C2986,8305.59,1174
A130,C466,16931.35,982
A131,C701,21888.42,1156
A132,C1148,27932.86,357
A133,C2275,17974.59,1383
A134,C468,75325.45,1501
A135,C1430,8946.61,389
A136,C2771,35209.67,1368
A137,C1254,28373.38,1489
A138,C2652,53373.22,1516
A139,C1804,5224.1,1084
A140,C2424,16517.04,1065
A141,C354,28263.09,596
A142,C1186,51151.16,240
A143,C946,24567.9,1290
A144,C1244,50669.94,994
A145,C821,20244.8,277
A146,C1167,14372.49,1624
A147,C1831,5606.19,1817
A148,C1406,56636.65,1137
A149,C674,552821.82,1027
A150,C745,4217.51,835
A151,C142,13908.46,1438
A152,C4,8131.92,1592
A153,C121,26497.54,356
A154,C813,151739.65,111
A155,C2323,14532.9,46
A156,C2892,72771.19,1836
A157,C2051,23557.69,1849
A158,C592,7443.96,343
A159,C2548,8020.73,464
A160,C455,61119.3,1411
A161,C2031,15814.03,1188
A162,C300,91197.0,735
A163,C156,33047.55,1362
