group_id,typology,txn_count,total_amount,unique_accounts
CHARITY_01858,Charity Abuse,26,7888051.97,10
CHARITY_01795,Charity Abuse,16,7420552.29,11
CHARITY_00127,Charity Abuse,25,6840143.19,8
CHARITY_00290,Charity Abuse,21,6511115.81,8
CHARITY_01011,Charity Abuse,22,6462323.5600000005,11
FUNNEL_00096,Funnel Account Network,24,6159255.44,12
CHARITY_02074,Charity Abuse,20,6084365.79,12
CHARITY_02496,Charity Abuse,16,6070261.390000001,11
CHARITY_01463,Charity Abuse,18,6036278.06,8
FUNNEL_00190,Funnel Account Network,13,5998173.95,6
FUNNEL_00125,Funnel Account Network,17,5829987.489999999,11
FUNNEL_00258,Funnel Account Network,6,5793380.06,4
CHARITY_00118,Charity Abuse,19,5789698.8,9
CHARITY_02495,Charity Abuse,24,5718719.2700000005,15
FUNNEL_00186,Funnel Account Network,25,5664570.3,13
CHARITY_00472,Charity Abuse,16,5516504.0600000005,6
CHARITY_01687,Charity Abuse,19,5488519.67,14
CHARITY_00424,Charity Abuse,18,5485025.930000001,4
CHARITY_01112,Charity Abuse,20,5399717.25,5
CHARITY_02815,Charity Abuse,22,5331908.05,14
CHARITY_01670,Charity Abuse,18,5286422.82,10
CHARITY_00697,Charity Abuse,17,5199342.87,5
CHARITY_01911,Charity Abuse,20,5195662.699999999,8
CHARITY_02243,Charity Abuse,20,5189657.34,11
CHARITY_02005,Charity Abuse,14,5164940.79,7
CHARITY_02216,Charity Abuse,18,5153026.25,8
CHARITY_01580,Charity Abuse,16,5144122.08,10
CHARITY_02007,Charity Abuse,27,5115403.8100000005,11
CHARITY_01610,Charity Abuse,23,5058921.85,8
CHARITY_01899,Charity Abuse,19,5041043.17,6
CHARITY_02929,Charity Abuse,19,5033175.1,8
CHARITY_01777,Charity Abuse,18,5014855.21,5
CHARITY_01847,Charity Abuse,13,4999598.359999999,7
CHARITY_01133,Charity Abuse,30,4984720.96,12
CHARITY_02963,Charity Abuse,25,4970355.180000001,16
CHARITY_02962,Charity Abuse,17,4968466.48,9
CHARITY_01715,Charity Abuse,11,4966833.470000001,5
CHARITY_01348,Charity Abuse,17,4943751.18,10
CHARITY_00805,Charity Abuse,27,4941907.8,9
CHARITY_01360,Charity Abuse,20,4939334.890000001,10
CHARITY_01066,Charity Abuse,23,4850925.37,8
CHARITY_00173,Charity Abuse,20,4813180.12,10
CHARITY_01287,Charity Abuse,13,4766697.24,8
CHARITY_00070,Charity Abuse,21,4759398.65,8
CHARITY_01197,Charity Abuse,21,4723384.9,9
CHARITY_00908,Charity Abuse,16,4638713.21,13
CHARITY_02081,Charity Abuse,22,4558993.22,6
CHARITY_02910,Charity Abuse,14,4531640.68,10
CHARITY_00196,Charity Abuse,20,4507665.32,11
CHARITY_01667,Charity Abuse,15,4477998.600000001,8
CHARITY_02605,Charity Abuse,20,4414871.72,4
CHARITY_01365,Charity Abuse,20,4406233.53,11
CHARITY_03153,Charity Abuse,13,4366447.47,11
CHARITY_02076,Charity Abuse,19,4353727.49,11
CHARITY_00442,Charity Abuse,17,4341936.17,11
CHARITY_01803,Charity Abuse,18,4303850.2700000005,9
CHARITY_01755,Charity Abuse,21,4299914.17,11
CHARITY_01789,Charity Abuse,16,4285854.0600000005,7
FUNNEL_00152,Charity Abuse; Funnel Account Network,17,4237037.03,11
CHARITY_02590,Charity Abuse,19,4235953.87,5
CHARITY_01869,Charity Abuse; Funnel Account Network,13,4181863.62,11
CHARITY_01074,Charity Abuse,21,4157036.78,9
CHARITY_02061,Charity Abuse,23,4024562.7399999998,10
CHARITY_03047,Charity Abuse,22,4022318.0100000002,6
CHARITY_02537,Charity Abuse,18,3996219.33,5
PASS_00525,Pass-Through Transit Hub,2,3975974.6,1
PASS_00466,Pass-Through Transit Hub,2,3974662.39,1
PASS_00552,Pass-Through Transit Hub,2,3974111.0599999996,1
CHARITY_00962,Charity Abuse,27,3944908.33,11
CHARITY_02681,Charity Abuse,18,3944556.4000000004,6
PASS_00578,Pass-Through Transit Hub,2,3937890.96,1
FUNNEL_00202,Charity Abuse; Funnel Account Network,15,3927494.99,6
PASS_00369,Pass-Through Transit Hub,2,3927173.2199999997,1
CHARITY_01980,Charity Abuse,21,3926924.06,5
CHARITY_02419,Charity Abuse; Funnel Account Network,14,3923706.75,5
PASS_00072,Pass-Through Transit Hub,2,3920715.0,1
PASS_00652,Pass-Through Transit Hub,2,3913783.01,1
PASS_00182,Pass-Through Transit Hub,2,3892988.8899999997,1
PASS_00468,Pass-Through Transit Hub,2,3885296.34,1
PASS_00279,Pass-Through Transit Hub,2,3883708.27,1
PASS_00079,Pass-Through Transit Hub,2,3876949.76,1
PASS_00598,Pass-Through Transit Hub,2,3866481.55,1
PASS_00331,Pass-Through Transit Hub,2,3863343.01,1
CHARITY_01510,Charity Abuse,19,3860976.55,8
PASS_00229,Pass-Through Transit Hub,2,3855893.49,1
PASS_00527,Pass-Through Transit Hub,2,3849490.02,1
CHARITY_03119,Charity Abuse,18,3841146.8200000003,7
CHARITY_00837,Charity Abuse,18,3840159.8200000003,9
PASS_00066,Pass-Through Transit Hub,2,3833401.87,1
PASS_00286,Pass-Through Transit Hub,2,3832285.75,1
CHARITY_00041,Charity Abuse,16,3826578.55,7
FUNNEL_00266,Charity Abuse; Funnel Account Network,21,3808546.02,8
PASS_00407,Pass-Through Transit Hub,2,3808007.8200000003,1
PASS_00305,Pass-Through Transit Hub,2,3806902.84,1
PASS_00194,Pass-Through Transit Hub,2,3800177.5300000003,1
PASS_00276,Pass-Through Transit Hub,2,3780681.4699999997,1
PASS_00695,Pass-Through Transit Hub,2,3774815.52,1
PASS_00475,Pass-Through Transit Hub,2,3768664.35,1
CHARITY_03137,Charity Abuse; Funnel Account Network,20,3763944.21,8
PASS_00289,Pass-Through Transit Hub,2,3760188.56,1
PASS_00581,Pass-Through Transit Hub,2,3751270.16,1
CHARITY_02945,Charity Abuse,26,3746066.27,6
PASS_00656,Charity Abuse; Pass-Through Transit Hub,2,3723504.0700000003,1
PASS_00250,Pass-Through Transit Hub,2,3716970.38,1
PASS_00517,Pass-Through Transit Hub,2,3716221.8,1
PASS_00499,Pass-Through Transit Hub,2,3714743.11,1
PASS_00227,Pass-Through Transit Hub,2,3711355.7,1
PASS_00174,Pass-Through Transit Hub,2,3708582.51,1
PASS_00595,Pass-Through Transit Hub,2,3695969.1100000003,1
FUNNEL_00271,Charity Abuse; Funnel Account Network,14,3692448.16,6
CHARITY_03163,Charity Abuse; Funnel Account Network,14,3692448.16,6
PASS_00098,Pass-Through Transit Hub,2,3687502.33,1
PASS_00176,Pass-Through Transit Hub,2,3683338.71,1
PASS_00130,Pass-Through Transit Hub,2,3674678.7199999997,1
CHARITY_01291,Charity Abuse,18,3672745.2099999995,9
CHARITY_00904,Charity Abuse,23,3666457.9000000004,12
PASS_00603,Pass-Through Transit Hub,2,3639754.7800000003,1
PASS_00052,Pass-Through Transit Hub,2,3634879.52,1
CHARITY_02352,Charity Abuse,13,3626342.01,8
PASS_00019,Pass-Through Transit Hub,2,3615041.41,1
PASS_00587,Pass-Through Transit Hub,2,3607767.7,1
PASS_00522,Pass-Through Transit Hub,2,3599895.63,1
PASS_00658,Pass-Through Transit Hub,2,3598949.26,1
PASS_00672,Pass-Through Transit Hub,2,3585642.12,1
PASS_00221,Pass-Through Transit Hub,2,3577715.16,1
PASS_00453,Pass-Through Transit Hub,2,3567641.59,1
PASS_00026,Pass-Through Transit Hub,2,3560562.23,1
CHARITY_00066,Charity Abuse,22,3560047.02,13
PASS_00395,Pass-Through Transit Hub,2,3559162.8899999997,1
PASS_00573,Pass-Through Transit Hub,2,3558056.39,1
PASS_00634,Pass-Through Transit Hub,2,3555601.54,1
PASS_00538,Pass-Through Transit Hub,2,3542427.93,1
PASS_00513,Pass-Through Transit Hub,2,3541455.67,1
CHARITY_01252,Charity Abuse,17,3539776.94,10
PASS_00236,Pass-Through Transit Hub,2,3539375.34,1
PASS_00012,Pass-Through Transit Hub,2,3537432.3,1
CHARITY_02761,Charity Abuse,21,3508256.92,7
PASS_00018,Pass-Through Transit Hub,2,3507831.92,1
PASS_00368,Pass-Through Transit Hub,2,3494540.3899999997,1
PASS_00565,Pass-Through Transit Hub,2,3492517.62,1
PASS_00554,Charity Abuse; Pass-Through Transit Hub,2,3487974.52,1
CHARITY_00489,Charity Abuse,6,3477225.8800000004,5
PASS_00497,Pass-Through Transit Hub,2,3466212.13,1
PASS_00705,Pass-Through Transit Hub,2,3463009.23,1
PASS_00259,Pass-Through Transit Hub,2,3461683.9299999997,1
PASS_00391,Pass-Through Transit Hub,2,3454966.42,1
PASS_00530,Pass-Through Transit Hub,2,3441159.08,1
PASS_00123,Pass-Through Transit Hub,2,3438975.8200000003,1
PASS_00504,Pass-Through Transit Hub,3,3431721.7800000003,2
CHARITY_00340,Charity Abuse,19,3403775.96,8
PASS_00200,Pass-Through Transit Hub,2,3388474.24,1
PASS_00258,Pass-Through Transit Hub,2,3382403.01,1
CHARITY_02591,Charity Abuse,18,3366754.32,16
PASS_00480,Pass-Through Transit Hub,2,3366394.3899999997,1
PASS_00336,Pass-Through Transit Hub,2,3359426.25,1
CHARITY_00563,Charity Abuse,17,3359247.71,9
PASS_00064,Pass-Through Transit Hub,2,3353836.0599999996,1
PASS_00295,Pass-Through Transit Hub,2,3343696.6399999997,1
CHARITY_02358,Charity Abuse,22,3342766.3100000005,5
PASS_00531,Pass-Through Transit Hub,2,3340368.92,1
PASS_00294,Pass-Through Transit Hub,2,3334656.8600000003,1
PASS_00627,Pass-Through Transit Hub,2,3324244.86,1
CHARITY_01840,Charity Abuse,23,3313490.95,14
CHARITY_01817,Charity Abuse,22,3292028.6,12
CHARITY_00935,Charity Abuse,18,3279070.61,8
PASS_00039,Pass-Through Transit Hub,2,3269491.0300000003,1
PASS_00252,Pass-Through Transit Hub,2,3266463.96,1
PASS_00600,Pass-Through Transit Hub,2,3265614.73,1
CHARITY_00918,Charity Abuse,24,3248747.51,11
PASS_00467,Pass-Through Transit Hub,2,3241658.84,1
PASS_00154,Pass-Through Transit Hub,3,3234562.76,1
PASS_00262,Pass-Through Transit Hub,2,3232978.96,1
CHARITY_00212,Charity Abuse,19,3227141.68,7
CHARITY_02840,Charity Abuse,22,3223690.0000000005,12
PASS_00569,Pass-Through Transit Hub,2,3218340.38,1
PASS_00009,Charity Abuse; Pass-Through Transit Hub,3,3214394.5700000003,1
PASS_00556,Pass-Through Transit Hub,2,3212754.9699999997,1
PASS_00590,Pass-Through Transit Hub,2,3204333.92,1
PASS_00267,Pass-Through Transit Hub,2,3203594.14,1
PASS_00275,Pass-Through Transit Hub,3,3201248.4000000004,1
PASS_00374,Pass-Through Transit Hub,2,3200659.8,1
CHARITY_02096,Charity Abuse,12,3199279.45,8
PASS_00189,Pass-Through Transit Hub,2,3191071.81,1
CHARITY_03307,Charity Abuse,15,3183122.06,10
PASS_00042,Pass-Through Transit Hub,2,3181425.18,1
PASS_00233,Pass-Through Transit Hub,2,3169583.44,1
FUNNEL_00135,Funnel Account Network,8,3164941.5,8
PASS_00138,Pass-Through Transit Hub,2,3161414.75,1
CHARITY_00072,Charity Abuse,17,3155319.98,6
PASS_00187,Pass-Through Transit Hub,2,3154103.09,1
CHARITY_01787,Charity Abuse,24,3153821.47,10
CHARITY_00484,Charity Abuse,23,3153645.09,9
PASS_00385,Pass-Through Transit Hub,2,3147801.5,1
PASS_00498,Pass-Through Transit Hub,2,3147342.37,1
PASS_00582,Pass-Through Transit Hub,2,3146080.69,1
PASS_00320,Pass-Through Transit Hub,2,3135322.46,1
PASS_00156,Charity Abuse; Pass-Through Transit Hub,2,3132255.8600000003,1
CHARITY_01590,Charity Abuse,24,3131391.01,9
PASS_00179,Pass-Through Transit Hub,2,3128385.7800000003,1
PASS_00630,Pass-Through Transit Hub,3,3124109.7,2
PASS_00246,Pass-Through Transit Hub,2,3118577.7199999997,1
PASS_00108,Pass-Through Transit Hub,2,3096459.3600000003,1
PASS_00029,Pass-Through Transit Hub,2,3091881.15,1
PASS_00619,Pass-Through Transit Hub,2,3091620.79,1
FUNNEL_00242,Funnel Account Network,39,3085463.56,24
PASS_00203,Pass-Through Transit Hub,2,3071900.63,1
FUNNEL_00203,Funnel Account Network,41,3069869.21,34
PASS_00404,Pass-Through Transit Hub,2,3066027.09,1
PASS_00316,Pass-Through Transit Hub,2,3065623.5,1
CHARITY_00771,Charity Abuse,22,3063287.5,6
CHARITY_02139,Charity Abuse,17,3053869.0300000003,5
PASS_00033,Pass-Through Transit Hub,2,3035977.12,1
PASS_00645,Pass-Through Transit Hub,2,3027174.86,1
PASS_00492,Pass-Through Transit Hub,2,3025583.27,1
PASS_00366,Pass-Through Transit Hub,2,3018255.16,1
PASS_00253,Pass-Through Transit Hub,2,3009552.67,1
PASS_00243,Pass-Through Transit Hub,2,3006356.2800000003,1
PASS_00483,Pass-Through Transit Hub,2,2994349.54,1
CHARITY_00915,Charity Abuse,23,2994101.88,10
CHARITY_00224,Charity Abuse,19,2989344.08,11
PASS_00003,Pass-Through Transit Hub,2,2987316.13,1
PASS_00057,Pass-Through Transit Hub,2,2984086.54,1
PASS_00584,Pass-Through Transit Hub,2,2974191.73,1
CHARITY_01300,Charity Abuse,15,2964702.66,7
PASS_00699,Pass-Through Transit Hub,2,2951491.3600000003,1
HAWALA_00001,Underground Banking (Hawala),3,2950763.84,3
PASS_00678,Pass-Through Transit Hub,2,2944085.24,1
PASS_00403,Pass-Through Transit Hub,2,2923101.86,1
CHARITY_01825,Charity Abuse,18,2913579.3,8
PASS_00270,Pass-Through Transit Hub,2,2912075.99,1
CHARITY_03295,Charity Abuse,21,2911319.85,10
PASS_00002,Pass-Through Transit Hub,2,2902568.04,1
