category,encoded_value
ACCOUNTANT,0
AGRICULTURE,1
BUSINESS OWNER,2
CONSTRUCTION,3
CONSULTANT,4
DOCTOR,5
EDUCATION,6
ENGINEER,7
FINANCIAL SERVICES,8
FREELANCER,9
HEALTHCARE,10
HOSPITALITY,11
IMPORT/EXPORT,12
IT SERVICES,13
LAWYER,14
LOGISTICS,15
MANUFACTURING,16
PHARMACEUTICALS,17
REAL ESTATE,18
RETAIL,19
RETIRED,20
SALARIED - BANKING,21
SALARIED - EDUCATION,22
SALARIED - GOVERNMENT,23
SALARIED - HEALTHCARE,24
SALARIED - INSURANCE,25
SALARIED - IT,26
SALARIED - MANUFACTURING,27
SALARIED - TELECOM,28
SELF-EMPLOYED - PROFESSIONAL,29
SELF-EMPLOYED - RETAIL,30
STUDENT,31
TEXTILES,32
TRADING,33
