feature,gain,split
sender_bal_ratio_after_to_current,181802.41257897418,272
transaction_status_enc,180232.56769046042,101
receiver_bal_ratio_after_to_current,141154.3591277351,237
transaction_amount,118163.51757694632,418
receiver_acct_txn_count_30d,54020.50648919269,209
sender_acct_txn_count_30d,49689.864603987735,161
sender_running_balance_txn_amount,34959.78723202365,271
sender_cust_txn_count_30d,27232.84608411789,118
sender_acct_outflow_count_30d,23455.545510032935,80
typology_signal,19706.64749821881,104
receiver_acct_txn_count_7d,18236.596871376038,122
sender_balance_before_txn,18113.883672973876,179
receiver_balance_before_txn,17893.961574056848,172
sender_acct_txn_count_7d,16346.250477163714,92
sender_acct_outflow_amt_30d,15821.265822543133,195
receiver_acct_outflow_amt_30d,14089.27378918603,198
sender_cust_txn_count_7d,11225.40708065033,68
sender_current_balance,10687.492110063613,145
sender_acct_inflow_count_30d,10097.697929382324,101
receiver_current_balance,9825.396809030324,101
sender_acct_inflow_amt_30d,8852.242676827125,168
receiver_acct_inflow_amt_30d,8566.03638613224,174
transaction_mode_channel_bank_enc,8396.127801895142,110
sender_balance_after_txn,8167.213485385508,130
sender_cust_outflow_count_30d,8014.353262190707,74
rule_attempted_failed,7252.921548303204,22
sender_cumulative_daily_balance_change,7087.559270554426,118
annual_income,6740.127205967903,128
ip_flag_cross_border,6233.001194000244,32
receiver_acct_inflow_count_30d,6152.980617523193,87
receiver_acct_outflow_count_30d,4997.408404626282,75
receiver_acct_inflow_count_7d,4416.7546281814575,63
sender_acct_outflow_amt_7d,4369.31792640686,36
receiver_balance_after_txn,4323.622483249375,117
sender_cust_inflow_amt_30d,4154.524075463414,108
ip_flag_country_high_risk,3814.8633003234863,31
receiver_account_outflow_30d,3804.712608233657,17
sender_acct_inflow_count_7d,3714.270627975464,49
receiver_acct_outflow_amt_7d,2936.355381011963,45
sender_cust_outflow_amt_30d,2791.4898473620415,78
sender_cust_inflow_count_7d,2422.8537559509277,27
rule_structuring_pattern,2176.4770107269287,22
receiver_cumulative_daily_balance_change,1901.646192073822,80
sender_cust_inflow_count_30d,1825.8092226982117,46
receiver_running_balance_txn_amount,1609.4740330688946,60
sender_acct_inflow_amt_7d,1507.3222913742065,51
customer_occupation_industry_enc,1398.0201689898968,57
receiver_acct_inflow_amt_7d,976.5045385360718,50
source_of_funds_enc,948.9726087220479,34
sender_cust_outflow_amt_7d,868.5513000488281,36
receiver_acct_outflow_count_7d,840.67817735672,25
sender_acct_inflow_amt_24h,838.0485854148865,25
sender_acct_outflow_count_7d,707.995792388916,13
sender_acct_outflow_amt_1h,707.2316007614136,16
sender_cust_inflow_amt_7d,706.743169426918,33
sender_cust_outflow_count_7d,658.8271956443787,13
sender_acct_outflow_amt_24h,623.0840911865234,17
sender_acct_inflow_amt_1h,612.8634910583496,10
convergence_risk,568.2788248062134,27
