feature,gain,split,is_rule
sender_acct_txn_count_30d,148173.18742054116,401,False
rule_attempted_failed,136138.59900188446,69,True
sender_running_balance_txn_amount,133968.1134781004,892,False
sender_balance_before_txn,81014.5510356321,620,False
receiver_balance_before_txn,77442.27784629333,582,False
receiver_acct_outflow_count_30d,60568.509059577045,267,False
sender_cust_outflow_count_30d,45890.114445145155,288,False
sender_acct_outflow_amt_30d,44351.54802776658,403,False
receiver_acct_outflow_amt_30d,36791.63114015132,415,False
sender_acct_txn_count_7d,22256.516731950436,121,False
receiver_acct_txn_count_7d,21653.43306592187,176,False
sender_cumulative_daily_balance_change,21572.700009273813,273,False
receiver_acct_inflow_count_30d,19635.31794736808,272,False
receiver_acct_inflow_amt_30d,18886.85260576856,392,False
sender_cust_txn_count_7d,17433.4563999581,114,False
sender_acct_inflow_amt_30d,13211.795802459506,280,False
ip_flag_cross_border,10917.346784591675,75,False
sender_cust_inflow_count_30d,9124.647321479919,211,False
sender_cust_inflow_amt_30d,8015.457846647798,264,False
sender_acct_outflow_amt_7d,6751.448824129533,115,False
ip_flag_country_high_risk,6466.605828285217,44,False
receiver_acct_outflow_amt_7d,5910.373503654731,151,False
sender_cust_outflow_amt_30d,5488.713447582881,229,False
sender_acct_inflow_count_7d,4962.847940444946,82,False
receiver_running_balance_txn_amount,4623.945822612339,231,False
receiver_acct_inflow_count_7d,4223.739973068237,83,False
rule_structuring_pattern,3612.205764770508,75,True
sender_acct_inflow_amt_7d,3210.1821992178084,162,False
receiver_acct_inflow_amt_7d,3197.3437930101427,179,False
sender_cust_outflow_amt_7d,2482.9059150218964,135,False
receiver_acct_outflow_count_7d,2427.7073245048523,76,False
rule_negative_list_country,2347.447811126709,9,True
sender_cust_inflow_count_7d,2195.5135927200317,50,False
sender_cust_inflow_amt_7d,2055.013372526737,141,False
sender_acct_outflow_amt_24h,1758.665431162367,57,False
sender_acct_outflow_count_7d,1686.3540308735937,36,False
sender_cust_outflow_count_7d,1522.5715398788452,55,False
receiver_acct_outflow_amt_24h,1248.5006306171417,79,False
sender_acct_inflow_amt_24h,1195.1096549034119,42,False
rule_unusual_type_spike,1095.7763648033142,16,True
receiver_acct_inflow_amt_24h,1001.8316471576691,49,False
rule_bo_address_mismatch,937.9458055496216,19,True
ip_risk_score,894.1064121723175,43,False
sender_cust_inflow_amt_24h,852.1397042274475,49,False
ip_flag_kyc_verified,796.5922417640686,28,False
sender_cust_outflow_amt_1h,758.3861813545227,31,False
rule_large_cash_individual,752.6948363780975,21,True
rule_low_income_large,740.2949047088623,24,True
sender_cust_outflow_amt_24h,650.8096172809601,43,False
inflow_outflow_volume_balance_ratio_7d,614.3507852554321,43,False
sender_acct_inflow_amt_1h,606.9224479198456,27,False
ip_flag_night,542.7669773101807,17,False
sender_acct_outflow_count_24h,527.6731572151184,18,False
rule_large_intra_individual,465.7404065132141,12,True
rule_intra_high_freq,418.29347038269043,7,True
rule_age_amount_mismatch,379.68657875061035,18,True
rule_high_risk_industry,356.0629496574402,13,True
sender_cust_outflow_count_24h,316.85044288635254,17,False
ip_flag_shared_ip,313.2168595790863,14,False
rule_large_cash_business,294.36798310279846,11,True
rule_tax_haven_remit,270.8803172111511,7,True
receiver_acct_outflow_amt_1h,241.30495166778564,15,False
receiver_acct_txn_count_24h,208.07611107826233,13,False
receiver_acct_inflow_count_24h,192.31385135650635,12,False
rule_minor_anomalous,187.82936096191406,11,True
rule_large_intra_same_cust,184.1905002593994,6,True
sender_acct_txn_count_1h,180.024094581604,6,False
sender_cust_txn_count_24h,149.58514881134033,10,False
sender_acct_txn_count_24h,146.7722806930542,10,False
sender_cust_inflow_count_24h,138.07327842712402,12,False
receiver_acct_outflow_count_24h,132.311589717865,7,False
ip_flag_vpn,126.31957936286926,10,False
rule_sole_prop_personal,120.39809989929199,8,True
receiver_acct_inflow_amt_1h,118.7126817703247,7,False
sender_acct_inflow_count_24h,118.5426378250122,8,False
rule_zero_balance_cycling,103.62198233604431,6,True
rule_monthly_limit_exhaustion,96.45390129089355,5,True
rule_repeated_counterparty_7d,95.19599914550781,6,True
rule_off_hours_activity,81.65101909637451,5,True
inflow_outflow_volume_balance_ratio_24h,79.23443031311035,6,False
rule_unemployed_large,78.56564998626709,9,True
sender_acct_outflow_count_1h,68.57494831085205,4,False
ip_flag_emulator,67.80239963531494,4,False
rule_vpn_emulator_detected,58.40489959716797,4,True
rule_pep_large_any,49.56380081176758,6,True
rule_geo_mismatch_2000km,35.14701962471008,5,True
rule_large_intra_business,34.133700370788574,2,True
receiver_acct_txn_count_1h,33.10330009460449,2,False
receiver_acct_outflow_count_1h,26.61009979248047,1,False
rule_dormant_activation,19.61269998550415,4,True
rule_balance_parking,8.294250011444092,2,True
rule_large_foreign_indiv,7.60440993309021,2,True
sender_acct_inflow_count_1h,7.447999954223633,2,False
rule_nri_suspicious_domestic,6.599390029907227,1,True
rule_ppi_kyc_expiry_limit,6.0149102210998535,1,True
rule_auth_degrade_high_risk,3.7467401027679443,1,True
rule_new_biz_noncash_50pct,0.0,0,True
rule_auth_failure_spike,0.0,0,True
rule_cc_cash_1L,0.0,0,True
rule_cross_entity_common,0.0,0,True
rule_credit_then_cash,0.0,0,True
rule_crypto_nft_large,0.0,0,True
rule_crypto_then_cash_48h,0.0,0,True
rule_dormant_business_15d,0.0,0,True
rule_dormant_cash_30pct,0.0,0,True
rule_device_hopping,0.0,0,True
rule_dormant_75pct_drain,0.0,0,True
rule_acct_closed_90d,0.0,0,True
rule_new_indiv_cash_30pct,0.0,0,True
rule_new_biz_cash_30pct,0.0,0,True
rule_multi_channel_24h,0.0,0,True
rule_multiple_parties_cash,0.0,0,True
rule_new_biz_25pct,0.0,0,True
rule_large_cr_dr_business,0.0,0,True
rule_large_foreign_biz,0.0,0,True
rule_large_cr_dr_individual,0.0,0,True
rule_loan_repay_cash,0.0,0,True
rule_freelancer_offshore,0.0,0,True
rule_dormant_credit_50pct,0.0,0,True
rule_foreign_remit_4_5L,0.0,0,True
rule_early_morning_cluster,0.0,0,True
