feature,gain,split
sender_running_balance_txn_amount,955655.8534970284,909
sender_cumulative_daily_balance_change,524593.3424406052,428
receiver_running_balance_txn_amount,97920.85687828064,295
receiver_balance_after_txn,44797.1915063858,334
sender_balance_after_txn,44578.40467786789,337
receiver_acct_outflow_amt_30d,42952.611298561096,324
receiver_acct_inflow_amt_30d,40305.438091278076,209
receiver_acct_outflow_count_30d,36145.60050201416,238
sender_acct_outflow_amt_30d,32470.640553474426,233
sender_acct_inflow_amt_24h,30146.211666107178,93
sender_acct_inflow_amt_30d,27546.378784179688,186
ip_flag_night,26864.514799118042,58
ip_flag_cross_border,26581.236179351807,92
receiver_acct_outflow_amt_7d,23478.49729156494,160
sender_cust_inflow_amt_24h,19668.312995910645,37
sender_acct_inflow_count_30d,19270.624267578125,97
ip_flag_country_high_risk,17984.12232208252,43
sender_acct_outflow_amt_7d,15115.610083580017,161
receiver_acct_inflow_amt_24h,14770.1574010849,57
sender_acct_txn_count_30d,13811.033856391907,171
sender_acct_outflow_amt_24h,13206.084165096283,77
receiver_acct_outflow_count_7d,10622.168943405151,71
receiver_acct_inflow_count_30d,9475.75560951233,111
sender_acct_inflow_amt_1h,8946.312463760376,27
receiver_acct_inflow_amt_7d,8860.236860990524,143
sender_acct_outflow_count_7d,7706.568680763245,53
sender_acct_inflow_amt_7d,6775.1628885269165,102
receiver_acct_txn_count_7d,5998.562232017517,42
sender_acct_outflow_count_24h,5766.805698394775,24
inflow_outflow_volume_balance_ratio_7d,5211.2688817977905,23
receiver_acct_outflow_amt_24h,4607.7160568237305,68
sender_cust_inflow_amt_30d,4367.152907848358,104
sender_cust_outflow_amt_1h,3681.1721563339233,33
inflow_outflow_volume_balance_ratio_24h,3390.9768199920654,10
sender_cust_outflow_amt_7d,3176.9125843048096,78
sender_acct_txn_count_24h,2973.1879024505615,4
sender_cust_outflow_amt_30d,2403.828872680664,63
sender_cust_inflow_count_30d,2351.9075813293457,65
ip_flag_kyc_verified,1941.1922874450684,19
sender_cust_inflow_amt_7d,1741.1662001609802,48
receiver_acct_inflow_count_7d,1417.9172039031982,38
receiver_acct_inflow_amt_1h,1243.0513916015625,26
sender_acct_txn_count_7d,1181.6218919754028,26
sender_cust_outflow_amt_24h,992.8307814598083,25
ip_risk_score,917.3040747642517,27
sender_cust_outflow_count_7d,891.5407991409302,29
sender_cust_txn_count_7d,749.615909576416,23
sender_cust_inflow_count_7d,649.3105034828186,24
receiver_acct_outflow_amt_1h,586.1390562057495,16
sender_acct_txn_count_1h,555.5843868255615,6
receiver_acct_inflow_count_24h,404.44889545440674,13
receiver_acct_txn_count_24h,389.1186981201172,11
sender_cust_txn_count_24h,345.8131036758423,11
sender_acct_inflow_count_7d,308.1236000061035,11
sender_acct_outflow_count_1h,265.23672103881836,6
sender_acct_inflow_count_24h,254.67520141601562,9
receiver_acct_outflow_count_24h,240.40294742584229,7
sender_cust_outflow_count_24h,193.1949977874756,7
ip_flag_vpn,154.9075984954834,5
ip_flag_emulator,116.72329902648926,4
ip_flag_shared_ip,93.66539764404297,3
sender_acct_inflow_count_1h,60.79159927368164,3
sender_cust_inflow_count_1h,44.49020004272461,2
sender_cust_inflow_count_24h,19.435699462890625,1
ip_flag_geo_mismatch,0.0,0
receiver_acct_inflow_count_1h,0.0,0
receiver_acct_outflow_count_1h,0.0,0
receiver_acct_txn_count_1h,0.0,0
sender_cust_outflow_count_1h,0.0,0
sender_cust_txn_count_1h,0.0,0
