parameter,value
phase1.best_config,VHighWeight
phase1.config_details.name,VHighWeight
phase1.config_details.nl,127
phase1.config_details.md,10
phase1.config_details.mc,30
phase1.config_details.lr,0.03
phase1.config_details.ra,0.1
phase1.config_details.rl,1.0
phase1.config_details.sub,0.8
phase1.config_details.col,0.8
phase1.config_details.data,orig
phase1.config_details.spw,8.612219686701096
phase1.threshold,0.65
phase1.auc_roc,0.9420410112834262
phase1.f1_score,0.7475655430711611
phase1.precision,0.6634226760263774
phase1.recall,0.8561526319401551
phase1.tp,12475
phase1.fp,6329
phase1.fn,2096
phase1.tn,56414
phase1.best_iteration,999
phase1.n_features,230
phase1.n_graph_selected,64
phase1.n_train,309256
phase1.n_test,77314
phase1.imbalance_ratio,4.306109843350548
phase1.all_configs.Baseline.auc,0.9418670164418995
phase1.all_configs.Baseline.f1,0.7654312974621925
phase1.all_configs.Baseline.precision,0.7260358308194299
phase1.all_configs.Baseline.recall,0.8093473337451101
phase1.all_configs.Baseline.rounds,1000
phase1.all_configs.Deep+Reg.auc,0.9431736846575011
phase1.all_configs.Deep+Reg.f1,0.7669739320051542
phase1.all_configs.Deep+Reg.precision,0.7394877675840978
phase1.all_configs.Deep+Reg.recall,0.7965822524191888
phase1.all_configs.Deep+Reg.rounds,996
phase1.all_configs.SMOTE+Balanced.auc,0.9422063288608518
phase1.all_configs.SMOTE+Balanced.f1,0.7644807679833949
phase1.all_configs.SMOTE+Balanced.precision,0.7247125376621779
phase1.all_configs.SMOTE+Balanced.recall,0.8088669274586507
phase1.all_configs.SMOTE+Balanced.rounds,998
phase1.all_configs.SMOTE+Deep+Reg.auc,0.9437024432015667
phase1.all_configs.SMOTE+Deep+Reg.f1,0.7681115894150232
phase1.all_configs.SMOTE+Deep+Reg.precision,0.7475318264484282
phase1.all_configs.SMOTE+Deep+Reg.recall,0.7898565644087571
phase1.all_configs.SMOTE+Deep+Reg.rounds,1000
phase1.all_configs.HighWeight.auc,0.9425800101585791
phase1.all_configs.HighWeight.f1,0.7653962726510608
phase1.all_configs.HighWeight.precision,0.7218269172292161
phase1.all_configs.HighWeight.recall,0.8145631734266694
phase1.all_configs.HighWeight.rounds,999
phase1.all_configs.VHighWeight.auc,0.9420410112834262
phase1.all_configs.VHighWeight.f1,0.7606329747310483
phase1.all_configs.VHighWeight.precision,0.6987072680264292
phase1.all_configs.VHighWeight.recall,0.834602978518976
phase1.all_configs.VHighWeight.rounds,999
phase1.all_configs.XDeep+Slow.auc,0.9422781697821802
phase1.all_configs.XDeep+Slow.f1,0.7643741492189019
