feature_a,feature_b,correlation,target_corr_a,target_corr_b,recommendation
receiver_acct_outflow_count_30d,receiver_account_outflow_30d,1.0,0.21651287430650537,0.21651287430650537,Consider drop receiver_account_outflow_30d
ip_flag_vpn,vpn_flag_enc,1.0,0.00416591732933451,0.00416591732933451,Consider drop vpn_flag_enc
ip_flag_emulator,emulator_flag_enc,1.0,0.00349913431406122,0.00349913431406122,Consider drop emulator_flag_enc
sender_balance_before_txn,sender_balance_after_txn,0.98710063180664,0.11207595645746263,0.10613984129769491,Consider drop sender_balance_after_txn
receiver_balance_before_txn,receiver_balance_after_txn,0.9867553674553996,0.11185090587919229,0.10995630362570141,Consider drop receiver_balance_after_txn
rule_ppi_kyc_expiry_limit,rule_ppi_kyc_behavior_breach,0.9835546468827795,0.009060019783100729,0.008379607028608519,Consider drop rule_ppi_kyc_behavior_breach
sender_cust_txn_count_30d,sender_cust_outflow_count_30d,0.9691134012396496,0.24461679686686552,0.24533659416507375,Consider drop sender_cust_txn_count_30d
rule_dormant_activation,rule_dormant_activation_gen,0.9607593127868486,0.003503401652416238,0.003150978646267997,Consider drop rule_dormant_activation_gen
receiver_acct_txn_count_30d,receiver_acct_outflow_count_30d,0.9591986774859814,0.21526328814051135,0.21651287430650537,Consider drop receiver_acct_txn_count_30d
receiver_acct_txn_count_30d,receiver_account_outflow_30d,0.9591986774859814,0.21526328814051135,0.21651287430650537,Consider drop receiver_acct_txn_count_30d
rule_offshore_entity,rule_tax_res_mismatch_xborder,0.9579655183826803,0.03665011579079163,0.03676461109115084,Consider drop rule_offshore_entity
passive_nfe_enc,customer_type_enc,0.9544363661203376,0.0020042177310054584,0.002792553253766256,Consider drop passive_nfe_enc
rule_minor_anomalous,minor_flag_enc,0.9464636684224217,0.0005606644491204332,0.0023016494039674157,Consider drop rule_minor_anomalous
sender_acct_txn_count_30d,sender_acct_outflow_count_30d,0.9463855434379188,0.26250949942456026,0.25815404183135804,Consider drop sender_acct_outflow_count_30d
sender_cust_txn_count_30d,sender_cust_inflow_count_30d,0.9449949995889236,0.24461679686686552,0.21996020639201386,Consider drop sender_cust_inflow_count_30d
receiver_acct_txn_count_30d,receiver_acct_inflow_count_30d,0.9300598462425869,0.21526328814051135,0.1872711569316893,Consider drop receiver_acct_inflow_count_30d
sender_acct_outflow_amt_1h,sender_cust_outflow_amt_1h,0.9172889074699229,0.0004372736891126086,0.0007262495131176957,Consider drop sender_acct_outflow_amt_1h
sender_acct_inflow_amt_1h,sender_cust_inflow_amt_1h,0.914555980911361,0.031533352692672705,0.028779345336239808,Consider drop sender_cust_inflow_amt_1h
residency_enc,tax_residency_enc,-0.9113643464602038,0.0005708328997058312,0.0007561323353718726,Consider drop residency_enc
sender_acct_txn_count_30d,sender_acct_inflow_count_30d,0.9088310857098141,0.26250949942456026,0.22607281518428735,Consider drop sender_acct_inflow_count_30d
