parameter,value
phase2.best_config,Deep+Reg
phase2.config_details.name,Deep+Reg
phase2.config_details.nl,127
phase2.config_details.md,10
phase2.config_details.mc,8
phase2.config_details.lr,0.03
phase2.config_details.ra,0.1
phase2.config_details.rl,1.0
phase2.accuracy_primary,0.7572575663990118
phase2.accuracy_multi_label,0.8177887584928969
phase2.multi_label_threshold,0.3
phase2.macro_f1,0.7457831369272563
phase2.weighted_f1,0.7671882457360671
phase2.best_iteration,500
phase2.n_classes,10
phase2.classes,"['Charity Abuse', 'Circular Transaction Loop', 'Funnel Account Network', 'High-Risk Corridor Transfer', 'Money Mule Network', 'Pass-Through Transit Hub', 'Rapid Multi-Hop Layering', 'Structuring (Smurfing)', 'Third-Party Payment Web', 'Underground Banking (Hawala)']"
phase2.n_features,148
phase2.n_train,58283
phase2.n_test,14571
phase2.all_configs.Baseline.acc,0.764189142817926
phase2.all_configs.Baseline.mf1,0.7464942916120643
phase2.all_configs.Baseline.wf1,0.7699699494499587
phase2.all_configs.Baseline.rounds,477
phase2.all_configs.Deep+Reg.acc,0.7679637636401071
phase2.all_configs.Deep+Reg.mf1,0.7462013804503591
phase2.all_configs.Deep+Reg.wf1,0.7721729329079403
phase2.all_configs.Deep+Reg.rounds,500
phase2.all_configs.Wide+Shallow.acc,0.7233546084688766
phase2.all_configs.Wide+Shallow.mf1,0.7222367809075335
phase2.all_configs.Wide+Shallow.wf1,0.7355143273614183
phase2.all_configs.Wide+Shallow.rounds,500
