beneficiary_id,beneficiary_type,beneficiary_country_risk,shell_jurisdiction,shell_age_days,ubo_disclosed,shell_newly_incorporated
B0,business,high,,,,0
B1,business,low,,,,0
B2,individual,high,,,,0
B3,individual,medium,,,,0
B4,offshore,low,,,,0
B5,individual,low,,,,0
B6,individual,low,,,,0
B7,shell_company,medium,Cayman,954,0,0
B8,individual,low,,,,0
B9,individual,high,,,,0
B10,business,medium,,,,0
B11,business,low,,,,0
B12,business,low,,,,0
B13,shell_company,high,Cayman,1606,0,0
B14,business,high,,,,0
B15,individual,low,,,,0
B16,individual,medium,,,,0
B17,business,low,,,,0
B18,crypto,medium,,,,0
B19,individual,high,,,,0
B20,business,medium,,,,0
B21,individual,medium,,,,0
B22,business,low,,,,0
B23,individual,low,,,,0
B24,business,high,,,,0
B25,offshore,medium,,,,0
B26,crypto,medium,,,,0
B27,business,medium,,,,0
B28,business,low,,,,0
B29,business,low,,,,0
B30,individual,high,,,,0
B31,individual,medium,,,,0
B32,individual,low,,,,0
B33,crypto,low,,,,0
B34,offshore,high,,,,0
B35,shell_company,high,Cayman,537,0,0
B36,business,low,,,,0
B37,individual,low,,,,0
B38,business,medium,,,,0
B39,shell_company,high,Cayman,1491,0,0
B40,crypto,low,,,,0
B41,offshore,high,,,,0
B42,individual,medium,,,,0
B43,business,low,,,,0
B44,individual,low,,,,0
B45,individual,low,,,,0
B46,individual,low,,,,0
B47,shell_company,medium,Panama,1421,0,0
B48,individual,low,,,,0
B49,individual,low,,,,0
B50,crypto,low,,,,0
B51,individual,medium,,,,0
B52,business,medium,,,,0
B53,business,low,,,,0
B54,individual,low,,,,0
B55,business,low,,,,0
B56,individual,low,,,,0
B57,individual,low,,,,0
B58,individual,low,,,,0
B59,business,low,,,,0
B60,individual,low,,,,0
B61,individual,low,,,,0
B62,individual,medium,,,,0
B63,offshore,low,,,,0
B64,crypto,low,,,,0
B65,individual,medium,,,,0
B66,individual,low,,,,0
B67,crypto,medium,,,,0
B68,business,medium,,,,0
B69,individual,low,,,,0
B70,crypto,low,,,,0
B71,individual,low,,,,0
B72,individual,medium,,,,0
B73,individual,medium,,,,0
B74,business,low,,,,0
B75,individual,high,,,,0
B76,individual,low,,,,0
B77,individual,medium,,,,0
B78,individual,high,,,,0
B79,business,medium,,,,0
B80,business,high,,,,0
B81,business,low,,,,0
B82,individual,low,,,,0
B83,individual,low,,,,0
B84,shell_company,high,BVI,773,0,0
B85,individual,low,,,,0
B86,crypto,low,,,,0
B87,business,medium,,,,0
B88,business,low,,,,0
B89,business,low,,,,0
B90,individual,low,,,,0
B91,individual,low,,,,0
B92,individual,low,,,,0
B93,individual,low,,,,0
B94,individual,high,,,,0
B95,business,high,,,,0
B96,individual,medium,,,,0
B97,business,low,,,,0
B98,business,low,,,,0
B99,individual,medium,,,,0
B100,individual,low,,,,0
B101,individual,high,,,,0
B102,offshore,low,,,,0
B103,individual,low,,,,0
B104,offshore,high,,,,0
B105,shell_company,high,Luxembourg,1473,1,0
B106,individual,high,,,,0
B107,offshore,low,,,,0
B108,individual,low,,,,0
B109,individual,low,,,,0
B110,individual,medium,,,,0
B111,business,medium,,,,0
B112,offshore,low,,,,0
B113,individual,medium,,,,0
B114,business,medium,,,,0
B115,shell_company,high,BVI,1174,0,0
B116,individual,low,,,,0
B117,individual,low,,,,0
B118,individual,medium,,,,0
B119,crypto,medium,,,,0
B120,crypto,low,,,,0
B121,individual,high,,,,0
B122,offshore,low,,,,0
B123,shell_company,medium,Panama,634,0,0
B124,individual,low,,,,0
B125,business,low,,,,0
B126,individual,low,,,,0
B127,business,medium,,,,0
B128,individual,low,,,,0
B129,offshore,medium,,,,0
B130,individual,medium,,,,0
B131,individual,high,,,,0
B132,individual,low,,,,0
B133,offshore,low,,,,0
B134,business,medium,,,,0
B135,business,medium,,,,0
B136,business,high,,,,0
B137,business,low,,,,0
B138,business,low,,,,0
B139,business,medium,,,,0
B140,business,low,,,,0
B141,shell_company,medium,Cayman,50,0,1
B142,individual,medium,,,,0
B143,individual,low,,,,0
B144,shell_company,high,BVI,1266,1,0
B145,crypto,medium,,,,0
B146,offshore,low,,,,0
B147,individual,low,,,,0
B148,individual,low,,,,0
B149,business,high,,,,0
B150,shell_company,medium,Cayman,1117,0,0
B151,shell_company,high,Panama,1304,1,0
B152,individual,low,,,,0
B153,crypto,low,,,,0
B154,individual,low,,,,0
