customer_id,age,pep_flag,occupation,industry,account_type,kyc_level,income_bracket,customer_since_days,home_city,home_lat,home_lon,shared_kyc_id,shared_phone_hash,shared_email_hash
C0,45,0,unemployed,technology,savings,medium,medium,2383,Bangalore,12.9716,77.5946,,,
C1,52,0,self_employed,technology,corporate,medium,low,533,Chennai,13.0827,80.2707,,,
C2,40,0,unemployed,hospitality,retail,high,medium,773,Kolkata,22.5726,88.3639,,,
C3,23,0,salaried,education,current,high,high,2301,Mysuru,12.2958,76.6394,,,
C4,49,0,salaried,technology,savings,medium,medium,2326,Mumbai,19.076,72.8777,,,
C5,21,0,salaried,real_estate,business,low,high,3610,Delhi,28.6139,77.209,,,
C6,34,0,freelancer,finance,savings,medium,medium,2016,Belgaum,15.8497,74.4977,,,
C7,62,0,self_employed,healthcare,savings,medium,high,2912,Hyderabad,17.385,78.4867,,,
C8,43,0,salaried,finance,savings,medium,medium,58,Bangalore,12.9716,77.5946,KYC_00052,,EMAIL_00004
C9,49,0,retired,finance,retail,low,high,672,Ahmedabad,23.0225,72.5714,,,
C10,68,0,self_employed,healthcare,retail,high,high,3326,Kolkata,22.5726,88.3639,,,
C11,32,0,self_employed,retail,current,medium,medium,2822,Chennai,13.0827,80.2707,,,
C12,62,0,government_employee,technology,corporate,medium,high,154,Kolkata,22.5726,88.3639,,,
C13,57,0,salaried,technology,retail,medium,medium,1273,Delhi,28.6139,77.209,,,
C14,39,0,government_employee,finance,retail,medium,low,2937,Bangalore,12.9716,77.5946,,,EMAIL_00009
C15,33,0,salaried,manufacturing,savings,low,high,3239,Lucknow,26.8467,80.9462,,,
C16,34,0,freelancer,manufacturing,retail,low,medium,1346,Mysuru,12.2958,76.6394,,,
C17,41,0,government_employee,unknown,savings,medium,medium,3231,Patna,25.5941,85.1376,,,
C18,52,0,government_employee,healthcare,retail,medium,low,2552,Kolkata,22.5726,88.3639,,,
C19,43,0,salaried,unknown,retail,medium,medium,3481,Bangalore,12.9716,77.5946,,,
C20,28,0,retired,education,current,medium,medium,3103,Kolkata,22.5726,88.3639,,,
C21,67,0,retired,finance,corporate,medium,medium,3640,Indore,22.7196,75.8577,,,
C22,40,0,freelancer,unknown,retail,medium,low,1973,Kolkata,22.5726,88.3639,,,
C23,64,1,salaried,real_estate,savings,medium,medium,3641,Pune,18.5204,73.8567,,,
C24,30,0,self_employed,hospitality,savings,medium,medium,1046,Delhi,28.6139,77.209,,,
C25,34,0,salaried,unknown,retail,medium,low,3169,Mumbai,19.076,72.8777,,,
C26,59,0,retired,technology,retail,low,medium,329,Lucknow,26.8467,80.9462,,PHONE_00004,
C27,34,0,business_owner,retail,savings,low,medium,450,Bangalore,12.9716,77.5946,KYC_00041,,
C28,64,0,unemployed,construction,retail,medium,low,3101,Delhi,28.6139,77.209,,,
C29,41,0,salaried,technology,savings,medium,low,3051,Bangalore,12.9716,77.5946,,,
C30,43,0,self_employed,education,current,medium,low,711,Hyderabad,17.385,78.4867,,,
C31,21,0,student,education,corporate,medium,high,2431,Jaipur,26.9124,75.7873,,,
C32,41,0,business_owner,construction,corporate,high,low,1771,Bangalore,12.9716,77.5946,,,
C33,36,0,self_employed,healthcare,corporate,medium,high,1741,Delhi,28.6139,77.209,,,
C34,47,0,salaried,unknown,retail,low,low,2188,Delhi,28.6139,77.209,,,
C35,67,0,business_owner,healthcare,savings,medium,low,2312,Chennai,13.0827,80.2707,,PHONE_00005,
C36,21,0,salaried,unknown,retail,medium,low,450,Kolkata,22.5726,88.3639,,,
C37,62,0,salaried,finance,savings,high,medium,2172,Jaipur,26.9124,75.7873,,,
C38,40,0,business_owner,unknown,savings,medium,low,1560,Coimbatore,11.0168,76.9558,,,
C39,47,0,salaried,unknown,retail,high,medium,2867,Patna,25.5941,85.1376,KYC_00027,PHONE_00014,EMAIL_00009
C40,44,0,salaried,real_estate,corporate,high,medium,60,Bangalore,12.9716,77.5946,,,
C41,44,0,government_employee,healthcare,corporate,medium,high,2860,Chennai,13.0827,80.2707,,,
C42,61,0,student,real_estate,current,high,low,1770,Delhi,28.6139,77.209,,,
C43,67,0,government_employee,unknown,current,medium,medium,667,Patna,25.5941,85.1376,,,
C44,69,0,business_owner,finance,retail,medium,low,884,Indore,22.7196,75.8577,,,
C45,50,0,government_employee,unknown,corporate,high,medium,3232,Delhi,28.6139,77.209,,,
C46,55,0,student,technology,savings,high,medium,2063,Pune,18.5204,73.8567,,,
C47,67,0,freelancer,healthcare,retail,high,low,1569,Indore,22.7196,75.8577,,,
C48,66,0,salaried,hospitality,business,high,low,3599,Hyderabad,17.385,78.4867,,,
